"","title","year","name","source"
"63","Activisions Heavy Gear 2",1999,"Heavy Gear 2","https://www.gamasutra.com/view/feature/131814/postmortem_activisions_heavy_.php"
"64","Ritual Entertainments Heavy Metal: F.A.K.K. 2",2000,"Heavy Metal: F.A.K.K. 2","https://www.gamasutra.com/view/feature/131520/postmortem_ritual_entertainments_.php"
"65","Raven Softwares Heretic II",1999,"Heretic II","https://www.gamasutra.com/view/feature/131748/postmortem_raven_softwares_.php"
"66","Hero-U: Rogue to Redemption Postmortem",2019,"Hero-U: Rogue to Redemption","https://www.gamasutra.com/blogs/RobertaVaughan/20190404/340065/HeroU_Rogue_to_Redemption_Postmortem.php"
"67","Indigo Prophecy - The Nightmare of the Original Concept",2006,"Indigo Prophecy","http://www.gamasutra.com/view/feature/131140/postmortem_indigo_prophecy.php"
"68","Naughty Dogs Jak and Daxter the Precursor Legacy",2001,"Jak and Daxter","https://www.gamasutra.com/view/feature/131394/postmortem_naughty_dogs_jak_and_.php"
"69","Jetpack High sur iOs, Android et Black Berry",2014,"Jetpack High","https://www.gamasutra.com/blogs/ThibautAubrun/20140925/218511/Postmortem_Jetpack_High_sur_iOs_Android_et_Black_Berry.php"
"70","Blue Tongue Softwares Jurassic Park: Operation Genesis",2003,"Jurassic Park: Operation Genesis","https://www.gamasutra.com/view/feature/131287/postmortem_blue_tongue_softwares_.php"
"71","Kingdoms of Amalur: Reckoning",2013,"Kingdoms of Amalur: Reckoning","https://www.gamasutra.com/view/feature/197269/postmortem_kingdoms_of_amalur_.php"
"72","KleptoCats Post-mortem",2017,"Kleptocats","https://www.gamasutra.com/blogs/AntonioUribe/20170329/294672/KleptoCats_Postmortem.php"
"73","Pangalores Knightly Adventure",2013,"Knightly Adventure","https://www.gamasutra.com/view/feature/194432/postmortem_pangalores_knightly_.php"
"74","Cutler Creative Last Call",2001,"Last Call","https://www.gamasutra.com/view/feature/131490/postmortem_cutler_creatives_last_.php"
"75","Leaving Lyndow",2017,"Leaving Lyndow","https://www.gamasutra.com/blogs/DannyWeinbaum/20170508/297229/Postmortem_Leaving_Lyndow.php"
"76","Oceanus Communications Legacy Online",2003,"Legacy Online","https://www.gamasutra.com/view/feature/131217/postmortem_oceanus_.php"
"77","Postmortem: Deck13 Interactives Lords of the Fallen",2015,"Lords of the Fallen","http://www.gamasutra.com/view/news/236275/Postmortem_Deck13_Interactives_Lords_of_the_Fallen.php"
"78","Into the asylum: A postmortem of Human Head Studios Lost Within",2015,"Lost Within","http://www.gamasutra.com/view/news/252242/Into_the_asylum_A_postmortem_of_Human_Head_Studios_Lost_Within.php"
